timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687838939.2887754,669,0,"(61.366607666015625, 53.937538146972656, 512.8860473632812)","(61.366607666015625, 53.937538146972656, 512.8860473632812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.297074,669,0,"(61.38198471069336, 54.0579948425293, 512.5669555664062)","(61.38198471069336, 54.0579948425293, 512.5669555664062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.305223,669,0,"(61.4099235534668, 54.187374114990234, 512.232666015625)","(61.4099235534668, 54.187374114990234, 512.232666015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3138955,669,0,"(61.445796966552734, 54.327964782714844, 511.92999267578125)","(61.445796966552734, 54.327964782714844, 511.92999267578125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3221924,669,0,"(61.49148941040039, 54.47871017456055, 511.6289367675781)","(61.49148941040039, 54.47871017456055, 511.6289367675781)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3306282,669,0,"(61.55124282836914, 54.635005950927734, 511.34332275390625)","(61.55124282836914, 54.635005950927734, 511.34332275390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3389082,669,0,"(61.61948013305664, 54.8001594543457, 511.04754638671875)","(61.61948013305664, 54.8001594543457, 511.04754638671875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3472755,669,0,"(61.68770980834961, 54.97060775756836, 510.7353210449219)","(61.68770980834961, 54.97060775756836, 510.7353210449219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.355759,669,0,"(61.7406120300293, 55.15349197387695, 510.4181823730469)","(61.7406120300293, 55.15349197387695, 510.4181823730469)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3640628,669,0,"(61.773765563964844, 55.3574333190918, 510.09075927734375)","(61.773765563964844, 55.3574333190918, 510.09075927734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3719776,669,0,"(61.79279708862305, 55.574188232421875, 509.6952819824219)","(61.79279708862305, 55.574188232421875, 509.6952819824219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.3806481,669,0,"(61.80790710449219, 55.80714416503906, 509.27484130859375)","(61.80790710449219, 55.80714416503906, 509.27484130859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.388944,669,0,"(61.82939529418945, 56.05641555786133, 508.8164978027344)","(61.82939529418945, 56.05641555786133, 508.8164978027344)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.397,669,0,"(61.87981033325195, 56.31808090209961, 508.278564453125)","(61.87981033325195, 56.31808090209961, 508.278564453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4056458,669,0,"(61.97417068481445, 56.58831024169922, 507.6523742675781)","(61.97417068481445, 56.58831024169922, 507.6523742675781)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4143777,669,0,"(62.108360290527344, 56.868316650390625, 506.990478515625)","(62.108360290527344, 56.868316650390625, 506.990478515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4219382,669,0,"(62.28269577026367, 57.15690231323242, 506.252197265625)","(62.28269577026367, 57.15690231323242, 506.252197265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4302824,669,0,"(62.4758186340332, 57.45045471191406, 505.4627990722656)","(62.4758186340332, 57.45045471191406, 505.4627990722656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.439017,669,0,"(62.68474578857422, 57.73666000366211, 504.6347351074219)","(62.68474578857422, 57.73666000366211, 504.6347351074219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4472103,669,0,"(62.90656280517578, 58.0308837890625, 503.8012390136719)","(62.90656280517578, 58.0308837890625, 503.8012390136719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4553306,669,0,"(63.13172912597656, 58.329837799072266, 503.0055847167969)","(63.13172912597656, 58.329837799072266, 503.0055847167969)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4641635,669,0,"(63.36362075805664, 58.61930847167969, 502.24591064453125)","(63.36362075805664, 58.61930847167969, 502.24591064453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4721024,669,0,"(63.59797668457031, 58.888675689697266, 501.5460205078125)","(63.59797668457031, 58.888675689697266, 501.5460205078125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.480433,669,0,"(63.84833908081055, 59.14453125, 500.90252685546875)","(63.84833908081055, 59.14453125, 500.90252685546875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4888813,669,0,"(64.12177276611328, 59.38819122314453, 500.29290771484375)","(64.12177276611328, 59.38819122314453, 500.29290771484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.4973404,669,0,"(64.40479278564453, 59.61087417602539, 499.7669372558594)","(64.40479278564453, 59.61087417602539, 499.7669372558594)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5054073,669,0,"(64.70409393310547, 59.80231475830078, 499.27923583984375)","(64.70409393310547, 59.80231475830078, 499.27923583984375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5142965,669,0,"(65.01788330078125, 59.9481201171875, 498.847412109375)","(65.01788330078125, 59.9481201171875, 498.847412109375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5222194,669,0,"(65.35234069824219, 60.06145095825195, 498.4714050292969)","(65.35234069824219, 60.06145095825195, 498.4714050292969)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.530346,669,0,"(65.70499420166016, 60.15962600708008, 498.1697998046875)","(65.70499420166016, 60.15962600708008, 498.1697998046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5387437,669,0,"(66.06664276123047, 60.240318298339844, 497.92291259765625)","(66.06664276123047, 60.240318298339844, 497.92291259765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.547153,669,0,"(66.4221420288086, 60.3128662109375, 497.7518615722656)","(66.4221420288086, 60.3128662109375, 497.7518615722656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5556479,669,0,"(66.77837371826172, 60.384273529052734, 497.6262512207031)","(66.77837371826172, 60.384273529052734, 497.6262512207031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5638616,669,0,"(67.14576721191406, 60.459388732910156, 497.57952880859375)","(67.14576721191406, 60.459388732910156, 497.57952880859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.571976,669,0,"(67.55389404296875, 60.55350112915039, 497.5734558105469)","(67.55389404296875, 60.55350112915039, 497.5734558105469)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5804818,669,0,"(68.01648712158203, 60.68191909790039, 497.5977783203125)","(68.01648712158203, 60.68191909790039, 497.5977783203125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.5888088,669,0,"(68.53116607666016, 60.838985443115234, 497.6128234863281)","(68.53116607666016, 60.838985443115234, 497.6128234863281)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
