,ind,timestamp,time,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
74,75,1687771002.5275075,7.787543535232544,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-64.17382049560547, 2.171602725982666, 588.4397583007812)"
75,76,1687771002.6299853,7.890021800994873,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-61.52628707885742, 4.758442401885986, 587.66259765625)"
76,77,1687771002.733342,7.99337911605835,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-60.53278732299805, 6.196335792541504, 584.5679321289062)"
77,78,1687771002.8371868,8.097224473953247,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-60.27994918823242, 8.023374557495117, 581.062744140625)"
78,79,1687771002.9395382,8.199574708938599,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-61.636783599853516, 8.087520599365234, 579.0910034179688)"
79,80,1687771003.0411384,8.301175355911255,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
80,81,1687771003.142875,8.40291142463684,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
81,82,1687771003.2448075,8.504844427108765,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-61.020408630371094, 5.652509689331055, 577.4567260742188)","(0, 0, 0)"
82,83,1687771003.3462348,8.606272459030151,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
83,84,1687771003.448517,8.708553552627563,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-59.32228469848633, 0.45727384090423584, 582.4917602539062)"
84,85,1687771003.5523388,8.812376022338867,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-58.954254150390625, -0.7897031903266907, 583.6090087890625)","(0, 0, 0)"
85,86,1687771003.654955,8.914990663528442,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
86,87,1687771003.7569654,9.01700210571289,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-58.48933029174805, -6.423516750335693, 585.3340454101562)","(0, 0, 0)"
87,88,1687771003.8589585,9.118995189666748,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-56.66921615600586, -6.02715539932251, 585.50830078125)","(0, 0, 0)"
88,89,1687771003.9611115,9.221148490905762,"(0, 0, 0)","(0, 0, 0)","(-56.08102798461914, -5.568178176879883, 585.2086181640625)","(0, 0, 0)","(0, 0, 0)"
89,90,1687771004.063414,9.323451042175293,"(0, 0, 0)","(0, 0, 0)","(-57.5537223815918, -6.023427486419678, 583.60009765625)","(0, 0, 0)","(0, 0, 0)"
90,91,1687771004.1668966,9.426934242248535,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-58.95301818847656, -7.023104667663574, 580.9508056640625)","(0, 0, 0)"
91,92,1687771004.2712908,9.531328439712524,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-59.85402297973633, -8.154060363769531, 578.8583984375)","(0, 0, 0)"
92,93,1687771004.3749397,9.634976148605347,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-59.36699676513672, -8.282225608825684, 580.1906127929688)","(0, 0, 0)"
93,94,1687771004.4777315,9.737769603729248,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-56.22077560424805, -7.051940441131592, 583.2998657226562)","(0, 0, 0)"
94,95,1687771004.5797887,9.83982539176941,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-52.722572326660156, -6.3643598556518555, 583.91943359375)","(0, 0, 0)"
95,96,1687771004.6816096,9.941645860671997,"(0, 0, 0)","(0, 0, 0)","(-53.460514068603516, -7.27580451965332, 580.64599609375)","(0, 0, 0)","(0, 0, 0)"
96,97,1687771004.7839134,10.043951034545898,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-54.84797668457031, -7.602848052978516, 575.0264282226562)","(0, 0, 0)"
97,98,1687771004.886762,10.146798849105835,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-53.39787292480469, -5.746052265167236, 571.4306030273438)","(0, 0, 0)"
98,99,1687771004.988595,10.248631477355957,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-48.1818733215332, -2.7004237174987793, 568.7131958007812)","(0, 0, 0)"
99,100,1687771005.0908272,10.35086441040039,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-42.779571533203125, -4.183764934539795, 568.242919921875)","(0, 0, 0)"
