timestamp,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data,found_marker_id,found_marker_index,found_marker_data
1687833246.6710212,"(-0.06335598975419998, 61.05702209472656, 543.2810668945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-0.06335598975419998, 61.05702209472656, 543.2810668945312)"
1687833246.6794133,"(-1.086183786392212, 60.963775634765625, 543.2627563476562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-1.086183786392212, 60.963775634765625, 543.2627563476562)"
1687833246.687541,"(-2.0233168601989746, 60.76383590698242, 543.2335205078125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-2.0233168601989746, 60.76383590698242, 543.2335205078125)"
1687833246.6960895,"(-2.8595290184020996, 60.463279724121094, 543.2059936523438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-2.8595290184020996, 60.463279724121094, 543.2059936523438)"
1687833246.704703,"(-3.5994129180908203, 60.0789680480957, 543.1804809570312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-3.5994129180908203, 60.0789680480957, 543.1804809570312)"
1687833246.712804,"(-4.252744197845459, 59.63225173950195, 543.1316528320312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-4.252744197845459, 59.63225173950195, 543.1316528320312)"
1687833246.721097,"(-4.841181755065918, 59.14693832397461, 543.0836181640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-4.841181755065918, 59.14693832397461, 543.0836181640625)"
1687833246.729513,"(-5.3553690910339355, 58.66468048095703, 543.0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-5.3553690910339355, 58.66468048095703, 543.0)"
1687833246.7378027,"(-5.7879958152771, 58.20298767089844, 542.8709106445312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-5.7879958152771, 58.20298767089844, 542.8709106445312)"
1687833246.7461,"(-6.152684688568115, 57.75294876098633, 542.6704711914062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-6.152684688568115, 57.75294876098633, 542.6704711914062)"
1687833246.7543538,"(-6.473041534423828, 57.28483963012695, 542.4093017578125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-6.473041534423828, 57.28483963012695, 542.4093017578125)"
1687833246.763409,"(-6.773005962371826, 56.78523635864258, 542.1035766601562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-6.773005962371826, 56.78523635864258, 542.1035766601562)"
1687833246.771115,"(-7.047881126403809, 56.247276306152344, 541.7836303710938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.047881126403809, 56.247276306152344, 541.7836303710938)"
1687833246.779687,"(-7.296318054199219, 55.67082977294922, 541.4320678710938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.296318054199219, 55.67082977294922, 541.4320678710938)"
1687833246.78768,"(-7.5262298583984375, 55.06767272949219, 541.0528564453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.5262298583984375, 55.06767272949219, 541.0528564453125)"
1687833246.7960207,"(-7.727530002593994, 54.45626449584961, 540.6358642578125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.727530002593994, 54.45626449584961, 540.6358642578125)"
1687833246.8043604,"(-7.908323764801025, 53.83451843261719, 540.2019653320312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.908323764801025, 53.83451843261719, 540.2019653320312)"
1687833246.8128786,"(-8.066973686218262, 53.20247268676758, 539.74951171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.066973686218262, 53.20247268676758, 539.74951171875)"
1687833246.821022,"(-8.200708389282227, 52.5566520690918, 539.310302734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.200708389282227, 52.5566520690918, 539.310302734375)"
1687833246.8294187,"(-8.308819770812988, 51.89086151123047, 538.8958129882812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.308819770812988, 51.89086151123047, 538.8958129882812)"
1687833246.8381236,"(-8.404268264770508, 51.207332611083984, 538.5343627929688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.404268264770508, 51.207332611083984, 538.5343627929688)"
